key,moment,display-start-moment,display-end-moment,picture,slogan,target
banner-01,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-02,2000/01/01 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-03,2000/01/01 00:01,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-04,2022/07/29 23:59,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-05,2022/07/30 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-06,2020/02/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-07,2020/02/28 23:59,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-08,2022/07/29 00:00,2022/07/29 00:01,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-09,2022/07/29 23:59,2022/07/29 00:02,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-10,2022/07/29 23:59,2200/12/24 23:58,2200/12/31 23:58,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-11,2022/07/29 23:59,2200/12/24 23:59,2200/12/31 23:59,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-12,2022/07/29 23:59,2024/02/28 23:59,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-13,2022/07/29 00:00,2024/02/29 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-14,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-15,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:02,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-16,2022/07/29 00:00,2023/08/06 00:00,2200/12/31 23:58,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-17,2022/07/29 00:00,2023/08/06 00:00,2200/12/31 23:59,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-18,2022/07/29 00:00,2023/08/06 00:00,2024/02/28 23:59,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-19,2022/07/29 00:00,2023/08/06 00:00,2024/02/29 00:00,https://i.imgur.com/8YcXhS0.png, Interesting Slogan!,https://ejemplo.com/offer
banner-20,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,http://a.com, Interesting Slogan!,https://ejemplo.com/offer
banner-21,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,http://ab.com, Interesting Slogan!,https://ejemplo.com/offer
banner-42,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,http://example.com?, Interesting Slogan!,https://ejemplo.com/offer
banner-43,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,http://example.com?A, Interesting Slogan!,https://ejemplo.com/offer
banner-22,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmno.jpg, Interesting Slogan!,https://ejemplo.com/offer
banner-23,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmn.jpg, Interesting Slogan!,https://ejemplo.com/offer
banner-24,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,ftp://example.com/22/image.jpg,Interesting Slogan!,https://ejemplo.com/offer
banner-25,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,ftp://example.com?id=2,Interesting Slogan!,https://ejemplo.com/offer
banner-26,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,a,https://ejemplo.com/offer
banner-27,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,aa,https://ejemplo.com/offer
banner-28,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,74CharactersCharacterCharactersCharactersCharactersCharactersCharacters75 ,https://ejemplo.com/offer
banner-29,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,75CharactersCharactersCharactersCharactersCharactersCharactersCharacters75 ,https://ejemplo.com/offer
banner-30,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,貸んい建濯よ芝弾テソ,https://ejemplo.com/offer
banner-31,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Λορεμ ιπσθμ δολορ σιτ αμετ,https://ejemplo.com/offer
banner-32,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,<script>alert('Injection'), https://ejemplo.com/offer
banner-41,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,' OR '' = ', https://ejemplo.com/offer
banner-33,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,<h1>HTML Header<h1>, https://ejemplo.com/offer
banner-34,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,https://a.com
banner-35,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,https://aa.com
banner-36,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,https://example.com/bcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmno
banner-37,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmno
banner-38,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,ftp://example.com/offer?param1=value1&param2=value2
banner-39,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,http://example.com/offer/subfolder/file.pdf
banner-40,2022/07/29 00:00,2023/08/06 00:00,2024/08/13 00:00,https://i.imgur.com/8YcXhS0.png,Interesting Slogan!,ftp://example.com:22/offer

