key,published,code,execution,type,correctiveActions,link,key:project,key:auditor
audit-01,false,ABC-001,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-02,false,ABC-002,2000/01/01 00:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-03,false,ABC-003,2000/01/01 00:01,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-04,false,ABC-004,2022/07/29 23:59,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-05,false,ABC-005,2022/07/30 00:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-06,false,ABC-006,2020/12/31 00:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-07,false,ABC-007,2020/12/31 23:59,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-08,false,ABC-008,2020/02/29 00:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-09,false,ABC-009,2021/01/01 08:00,DYNAMIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-01
audit-10,false,ABC-010,2021/01/01 08:00,STATIC,A,https://example.com/project-01,project-01,auditor-01
audit-11,false,ABC-011,2021/01/01 08:00,STATIC,AB,https://example.com/project-01,project-01,auditor-01
audit-12,false,ABC-012,2021/01/01 08:00,STATIC,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM,https://example.com/project-01,project-01,auditor-01
audit-13,false,ABC-013,2021/01/01 08:00,STATIC,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMN,https://example.com/project-01,project-01,auditor-01
audit-14,false,ABC-014,2021/01/01 08:00,STATIC,<h1>Example Heading</h1>,https://example.com/project-01,project-01,auditor-01
audit-15,false,ABC-015,2021/01/01 08:00,STATIC,"<script>alert(""alert!"")</script>",https://example.com/project-01,project-01,auditor-01
audit-16,false,ABC-016,2021/01/01 08:00,STATIC,' OR '1,https://example.com/project-01,project-01,auditor-01
audit-17,true,ABC-017,2021/01/01 08:00,STATIC,审计纠正措施01,https://example.com/project-01,project-01,auditor-01
audit-18,false,ABC-018,2021/01/01 08:00,STATIC,Корректирующие действия по аудиту 01.,https://example.com/project-01,project-01,auditor-02
audit-19,false,ABC-019,2021/01/01 08:00,STATIC,監査01に対する是正措置。,https://example.com/project-01,project-01,auditor-02
audit-20,false,ABC-020,2021/01/01 08:00,STATIC,الإجراءات التصحيحية للتدقيق,https://example.com/project-01,project-01,auditor-02
audit-21,false,ABC-021,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,,project-01,auditor-02
audit-22,false,ABC-022,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://fillerURL.com/254characters/maxLength/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,project-01,auditor-02
audit-23,false,ABC-023,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://fillerURL.com/255characters/maxLength/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,project-01,auditor-02
audit-24,false,ABC-024,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,ftp://example.com/record,project-01,auditor-02
audit-25,false,ABC-025,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/record/otherpage?utm_source=google&utm_medium=cpc,project-01,auditor-02
audit-26,false,ABC-026,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,http://example.com/record#section-1,project-01,auditor-02
audit-27,false,ABC-027,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://www.example.com/example_page?,project-01,auditor-02
audit-28,false,ABC-028,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://www.example.com/example_page?activo=true,project-01,auditor-02
audit-29,false,A-123,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-02
audit-30,false,AB-456,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-02
audit-31,false,ABC-789,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/project-01,project-01,auditor-02
audit-32,true,ABC-029,2021/01/01 08:00,STATIC,Corrective actions for audit 01.,https://example.com/project-02,project-02,auditor-02
